Server,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Coverage,Render time
0,40,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1259,378490,751694,373375,1,3,17077.69051,320,240,307200,0.529227733,89.274745
0,40,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,35728,70777,35074,1,3,1990.576568,320,240,307200,0.431369235,8.545717
0,40,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,74847,148131,73344,1,3,6202.487186,320,240,307200,0.427605288,13.076909
0,40,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,125686,248788,123205,1,3,8960.415542,320,240,307200,0.556789767,21.579328
0,40,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,594,90820,181638,90869,1,3,2958.139221,320,240,307200,0.405744723,66.811392
0,40,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,521940,1035477,513752,1,3,10533.47133,320,240,307200,0.742526272,316.230231
0,40,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,31314,62141,30844,1,3,314.3285555,320,240,307200,0.425261222,11.734868
0,40,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,75429,149287,73910,1,3,2167.211945,320,240,307200,0.405783127,25.437755
0,40,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,147250,291385,144257,1,3,4913.250103,320,240,307200,0.663332854,25.578819
0,40,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,625,206075,408230,202279,1,3,14948.32948,320,240,307200,0.583644787,42.207859
0,40,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,546742,1083999,537449,1,3,25988.15932,320,240,307200,0.744458059,157.753321
0,40,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,35402,70086,34710,1,3,1917.081501,320,240,307200,0.495487429,10.113934
0,40,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,55303,109740,54491,1,3,4255.668212,320,240,307200,0.590754372,13.601585
0,40,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,146162,289567,143504,1,3,2263.737143,320,240,307200,0.522090384,40.851098
0,40,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,630,217689,432194,214589,1,3,3925.488682,320,240,307200,0.776261424,89.313667
0,40,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,555736,1100582,545231,1,3,27614.28225,320,240,307200,0.857500622,83.310492
0,60,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,38318,75937,37642,1,3,2978.072069,480,360,691200,0.431307091,13.459156
0,60,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,64108,127129,63066,1,3,6313.156046,480,360,691200,0.849546826,16.989868
0,60,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,116209,230723,114591,1,3,16297.26811,480,360,691200,0.91688887,22.033513
0,60,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,176298,350133,173985,1,3,9329.891221,480,360,691200,0.734301114,51.08595
0,60,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1278,399905,795214,395468,1,3,11170.28573,480,360,691200,0.892105669,550.889399
0,60,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,39434,78075,38661,1,3,1781.21053,480,360,691200,0.561968822,14.938681
0,60,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,59169,117424,58291,1,3,2182.692803,480,360,691200,0.506363756,18.74928
0,60,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,133131,263656,130616,1,3,9288.780275,480,360,691200,0.676973716,31.440269
0,60,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,640,254772,505042,250384,1,3,4647.516914,480,360,691200,0.724036862,106.556935
0,60,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,589841,1168859,579330,1,3,10012.16411,480,360,691200,0.665601403,279.017113
0,60,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,35109,69726,34631,1,3,1381.730961,480,360,691200,0.582748246,11.898551
0,60,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,134237,265674,131549,1,3,10634.07298,480,360,691200,0.848907572,26.832639
0,60,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,635,242024,479457,237576,1,3,34607.78944,480,360,691200,0.629096583,28.060131
0,60,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1260,391296,777356,386274,1,3,17432.74716,480,360,691200,0.649168697,108.820006
0,60,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,76,16665,33202,16547,1,3,454.1888283,480,360,691200,0.321300989,10.017017
0,60,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,68031,135008,67004,1,3,661.455331,480,360,691200,0.657973122,46.378834
0,60,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,320,133764,264761,131097,1,3,8664.826445,480,360,691200,0.783652272,29.285495
0,60,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,629,219863,435915,216176,1,3,6383.956065,480,360,691200,0.855225115,67.535759
0,60,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1267,436593,867971,431420,1,3,14898.4882,480,360,691200,0.776782786,255.710567
0,60,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,35471,70329,34887,1,3,1057.063074,480,360,691200,0.57403388,11.386272
0,60,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,72465,143459,71054,1,3,5848.892311,480,360,691200,0.548730512,18.632243
0,60,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,318,118723,235398,116758,1,3,3907.499947,480,360,691200,0.604426072,33.087678
0,60,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,609,93669,186820,93193,1,3,1588.232455,480,360,691200,0.479322746,141.327124
0,60,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1271,451613,896445,444984,1,3,24294.54695,480,360,691200,0.694739759,223.867068
0,80,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,37570,74512,36963,1,3,1764.778765,640,480,1228800,0.773561127,26.193413
0,80,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,55353,110447,55110,1,3,820.9272705,640,480,1228800,0.847964314,73.903872
0,80,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,123397,244832,121485,1,3,4215.041503,640,480,1228800,0.812619577,40.38025
0,80,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,635,106540,214130,107654,1,3,4686.293643,640,480,1228800,0.683635699,112.672119
0,80,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,531022,1053827,522980,1,3,16809.68821,640,480,1228800,0.987428339,469.66673
0,80,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,38925,77024,38127,1,3,2004.133291,640,480,1228800,0.516919286,11.774067
0,80,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,75119,148820,73752,1,3,2537.545552,640,480,1228800,0.498728418,39.390374
