File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,635,239244,474226,235133,1,3,8988.854493838757,160.0,120.0,76800.0,24.554541,0.6055079489116357
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1280,544596,1078702,534457,1,3,19880.228279421215,160.0,120.0,76800.0,56.472862,0.9681249929104605
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.0,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,22612,44918,22330,1,3,1608.7459547871645,320.0,240.0,307200.0,3.157249,0.6190933307639758
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.0,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,58554,116195,57689,1,3,1325.3285467268988,320.0,240.0,307200.0,6.709204,0.7456643809333453
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.0,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,316,60918,122529,61611,1,3,811.3959810979617,320.0,240.0,307200.0,19.138828,0.47052341141771337
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.0,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,615,103366,208347,104963,1,3,6948.24295822917,320.0,240.0,307200.0,12.135423,0.5914180852555817
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.0,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1278,235886,472570,236837,1,3,5249.041378629457,320.0,240.0,307200.0,151.988281,0.7284179572341111
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,39593,78319,38760,1,3,2854.013160332477,320.0,240.0,307200.0,3.160028,0.3887978089358459
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,75344,149053,73769,1,3,3564.249568977701,320.0,240.0,307200.0,6.798735,0.6316370860168423
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,136312,270095,133876,1,3,7003.993612395562,320.0,240.0,307200.0,15.516075,0.6315773535084596
