File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.0,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.434851,0.0349647267340359
BlenderBattery_1,nmsl4,CYCLES,20.0,0.0,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.121113,0.0349647267340359
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.0,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,17,2047,4146,2120,5,7,321.48841654363787,384.0,216.0,331776.0,0.629406,0.15592160669787467
BlenderBattery_1,nmsl4,CYCLES,20.0,0.0,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,17,1955,3943,2010,5,7,910.9238554734038,384.0,216.0,331776.0,0.142837,0.18548192920179493
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.0,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,30,3794,7704,3945,5,7,1857.8432184125995,384.0,216.0,331776.0,0.845842,0.3857892504439989
BlenderBattery_1,nmsl4,CYCLES,20.0,0.0,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,24,2630,5320,2715,5,7,1412.4942499009485,384.0,216.0,331776.0,0.190916,0.16920392076220436
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.0,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,54,5647,11549,5955,5,7,3187.4100447407836,384.0,216.0,331776.0,1.937061,0.41278132866983763
BlenderBattery_1,nmsl4,CYCLES,20.0,0.0,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,48,5162,10481,5368,5,7,1536.610009198048,384.0,216.0,331776.0,0.277359,0.46456252700148776
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.0,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,111,12890,26243,13468,5,7,6369.460389381609,384.0,216.0,331776.0,6.307002,0.6119384418005608
BlenderBattery_1,nmsl4,CYCLES,20.0,0.0,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,78,6549,13335,6828,5,7,27401.162817976787,384.0,216.0,331776.0,0.477805,0.4496493603617126
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.122,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.370523,0.0257105675974565
BlenderBattery_1,nmsl4,CYCLES,20.0,0.122,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.111712,0.0257105675974565
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.122,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,16,2046,4144,2119,5,7,228.0890752915293,384.0,216.0,331776.0,0.624892,0.08350376007259475
BlenderBattery_1,nmsl4,CYCLES,20.0,0.122,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,2728,5526,2829,5,7,333.0622010133229,384.0,216.0,331776.0,0.139421,0.2602589999193148
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.122,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,33,4234,8604,4410,5,7,3853.570315742516,384.0,216.0,331776.0,0.800088,0.41969746210488923
BlenderBattery_1,nmsl4,CYCLES,20.0,0.122,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,31,4034,8212,4213,5,7,2074.4058600509306,384.0,216.0,331776.0,0.175201,0.5210243039824626
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.122,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,68,8497,17183,8782,5,7,1278.146112785791,384.0,216.0,331776.0,2.384742,0.7503096773350724
BlenderBattery_1,nmsl4,CYCLES,20.0,0.122,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,62,7477,15183,7784,5,7,1339.1000040866638,384.0,216.0,331776.0,0.282454,0.5610116791428598
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.122,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,97,10080,20447,10473,5,7,4861.563529731844,384.0,216.0,331776.0,4.111173,0.6427107499559193
BlenderBattery_1,nmsl4,CYCLES,20.0,0.122,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,105,10694,21803,11220,5,7,7613.078704836429,384.0,216.0,331776.0,0.484109,0.873570931167716
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.244,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.362068,0.019370816260689136
BlenderBattery_1,nmsl4,CYCLES,20.0,0.244,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.111549,0.019370816260689136
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.244,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,3028,6112,3118,5,7,357.1753434606944,384.0,216.0,331776.0,0.544088,0.20962693377583638
BlenderBattery_1,nmsl4,CYCLES,20.0,0.244,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,19,2441,4943,2528,5,7,1192.7900441359961,384.0,216.0,331776.0,0.13237,0.173714122677133
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.244,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,34,4180,8466,4332,5,7,747.3060601163088,384.0,216.0,331776.0,1.082166,0.6117788812356634
BlenderBattery_1,nmsl4,CYCLES,20.0,0.244,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,35,4580,9322,4786,5,7,809.6926300837949,384.0,216.0,331776.0,0.183517,0.4550151853062045
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.244,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,58,6885,13993,7172,5,7,3554.540883467096,384.0,216.0,331776.0,1.553296,0.5761107923671965
BlenderBattery_1,nmsl4,CYCLES,20.0,0.244,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,76,9510,19303,9901,5,7,2462.2023182759294,384.0,216.0,331776.0,0.29204,0.6517429203541963
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.244,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,104,12082,24602,12626,5,7,10131.109147338386,384.0,216.0,331776.0,3.551754,0.8053410339159722
BlenderBattery_1,nmsl4,CYCLES,20.0,0.244,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,116,13999,28511,14647,5,7,3227.545780658038,384.0,216.0,331776.0,0.471148,0.7354065974989824
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.366,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.332778,0.014845456662143243
BlenderBattery_1,nmsl4,CYCLES,20.0,0.366,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.10701,0.014845456662143243
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.366,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,2703,5483,2810,5,7,322.5383722668048,384.0,216.0,331776.0,0.530686,0.16816327138966644
BlenderBattery_1,nmsl4,CYCLES,20.0,0.366,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,19,2279,4620,2366,5,7,712.7974984581815,384.0,216.0,331776.0,0.123987,0.12651636546322587
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.366,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,39,5112,10375,5317,5,7,968.8013043680403,384.0,216.0,331776.0,0.79135,0.5999150968970597
BlenderBattery_1,nmsl4,CYCLES,20.0,0.366,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,31,3330,6781,3485,5,7,909.3992263474502,384.0,216.0,331776.0,0.170141,0.4348822880143827
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.366,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,62,7992,16234,8323,5,7,1747.863212856464,384.0,216.0,331776.0,1.675995,0.5818506918050015
BlenderBattery_1,nmsl4,CYCLES,20.0,0.366,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,63,7247,14684,7516,5,7,2689.8455329532153,384.0,216.0,331776.0,0.339788,0.6183428535362211
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.366,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,127,14891,30376,15630,5,7,4400.946121089597,384.0,216.0,331776.0,5.148147,0.8623450794090067
BlenderBattery_1,nmsl4,CYCLES,20.0,0.366,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,87,8095,16551,8529,5,7,5229.623941758182,384.0,216.0,331776.0,0.451407,0.7036041472192394
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.488,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.309372,0.011509349701377534
BlenderBattery_1,nmsl4,CYCLES,20.0,0.488,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,384.0,216.0,331776.0,0.103443,0.011509349701377534
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.488,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,15,1852,3744,1911,5,7,244.33165020111483,384.0,216.0,331776.0,0.366199,0.038834441269396974
BlenderBattery_1,nmsl4,CYCLES,20.0,0.488,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,19,2295,4652,2382,5,7,1137.7078007498058,384.0,216.0,331776.0,0.120544,0.12616207034608454
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.488,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,32,3860,7840,4020,5,7,2806.226679142448,384.0,216.0,331776.0,0.594125,0.309182744473869
BlenderBattery_1,nmsl4,CYCLES,20.0,0.488,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,38,4975,10101,5179,5,7,1629.4094794596313,384.0,216.0,331776.0,0.181344,0.4493886855253561
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.488,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,57,6976,14106,7205,5,7,4655.503714019433,384.0,216.0,331776.0,1.115731,0.5161172070281763
BlenderBattery_1,nmsl4,CYCLES,20.0,0.488,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,54,6231,12682,6510,5,7,3163.4757298312325,384.0,216.0,331776.0,0.262463,0.5353537729417622
BlenderBattery_1,nmsl4,BLENDER_RENDER,20.0,0.488,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,96,9001,18281,9382,5,7,2656.640928123321,384.0,216.0,331776.0,2.408367,0.6509039166367604
BlenderBattery_1,nmsl4,CYCLES,20.0,0.488,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,104,11159,22699,11653,5,7,3717.785839854463,384.0,216.0,331776.0,0.479186,0.6638078936527362
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.0,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.74156,0.0349647267340359
BlenderBattery_1,nmsl4,CYCLES,40.0,0.0,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.21065,0.0349647267340359
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.0,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,3025,6111,3118,5,7,491.0356593593024,768.0,432.0,1327104.0,1.219582,0.30188859768893245
BlenderBattery_1,nmsl4,CYCLES,40.0,0.0,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,3028,6112,3118,5,7,510.75581195333507,768.0,432.0,1327104.0,0.235513,0.11485882664268089
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.0,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,28,3489,7103,3647,5,7,1119.7341499871109,768.0,432.0,1327104.0,1.639449,0.31229382082585816
BlenderBattery_1,nmsl4,CYCLES,40.0,0.0,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,30,3796,7710,3949,5,7,725.581461536407,768.0,432.0,1327104.0,0.297747,0.40203430122198186
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.0,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,59,6471,13174,6768,5,7,2950.826478770039,768.0,432.0,1327104.0,6.298872,0.7870446397154389
BlenderBattery_1,nmsl4,CYCLES,40.0,0.0,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,51,5789,11775,6036,5,7,2731.742157269153,768.0,432.0,1327104.0,0.400114,0.7994104478106995
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.0,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,108,12133,24685,12666,5,7,11354.009873759729,768.0,432.0,1327104.0,8.235489,0.7670504115439452
BlenderBattery_1,nmsl4,CYCLES,40.0,0.0,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,84,8063,16424,8434,5,7,840.0373959427743,768.0,432.0,1327104.0,1.018318,0.5634555018986859
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.122,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.747893,0.0257105675974565
BlenderBattery_1,nmsl4,CYCLES,40.0,0.122,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.196994,0.0257105675974565
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.122,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,15,1852,3744,1911,5,7,221.10464597528335,768.0,432.0,1327104.0,1.207666,0.05220460659100112
BlenderBattery_1,nmsl4,CYCLES,40.0,0.122,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,15,1852,3746,1912,5,7,263.92151669049053,768.0,432.0,1327104.0,0.229778,0.05397946777479778
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.122,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,29,3610,7336,3759,5,7,506.4376702223526,768.0,432.0,1327104.0,2.43897,0.26008211227144673
BlenderBattery_1,nmsl4,CYCLES,40.0,0.122,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,38,5215,10608,5446,5,7,1462.7067997440463,768.0,432.0,1327104.0,0.286955,0.5141248457569959
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.122,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,46,4010,8138,4173,5,7,2251.949590286182,768.0,432.0,1327104.0,3.537199,0.8187823398516949
BlenderBattery_1,nmsl4,CYCLES,40.0,0.122,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,56,6727,13660,6998,5,7,1326.1463774908989,768.0,432.0,1327104.0,0.404677,0.6793431013371761
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.122,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,106,11342,23161,11925,5,7,4725.21959783326,768.0,432.0,1327104.0,11.175524,0.8107547790293025
BlenderBattery_1,nmsl4,CYCLES,40.0,0.122,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,106,10983,22337,11462,5,7,6196.180857015599,768.0,432.0,1327104.0,0.678937,0.870849999781365
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.244,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.691555,0.019370816260689136
BlenderBattery_1,nmsl4,CYCLES,40.0,0.244,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.190669,0.019370816260689136
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.244,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,16,2046,4144,2119,5,7,229.5581273792195,768.0,432.0,1327104.0,1.17927,0.1295072199821634
BlenderBattery_1,nmsl4,CYCLES,40.0,0.244,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,15,1852,3764,1930,5,7,227.72019721198012,768.0,432.0,1327104.0,0.220079,0.030340756311630416
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.244,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,25,2535,5204,2688,5,7,347.4296305612079,768.0,432.0,1327104.0,2.033793,0.30146272254423884
BlenderBattery_1,nmsl4,CYCLES,40.0,0.244,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,29,3704,7490,3823,5,7,394.89263420203497,768.0,432.0,1327104.0,0.267391,0.21860053767110477
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.244,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,45,4092,8288,4238,5,7,448.9703062805056,768.0,432.0,1327104.0,4.281082,0.2867579296899378
BlenderBattery_1,nmsl4,CYCLES,40.0,0.244,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,54,6322,12937,6675,5,7,864.8035079598158,768.0,432.0,1327104.0,0.653431,0.6103127052644436
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.244,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,104,11542,23415,11983,5,7,4619.418382851465,768.0,432.0,1327104.0,9.544992,0.7757419412954926
BlenderBattery_1,nmsl4,CYCLES,40.0,0.244,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,93,9456,19170,9821,5,7,3706.3100994050037,768.0,432.0,1327104.0,0.567269,0.4176101798692816
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.366,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.684518,0.014845456662143243
BlenderBattery_1,nmsl4,CYCLES,40.0,0.366,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.180478,0.014845456662143243
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.366,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,18,2388,4836,2472,5,7,851.7437527634902,768.0,432.0,1327104.0,0.806927,0.06617260075603897
BlenderBattery_1,nmsl4,CYCLES,40.0,0.366,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,3028,6112,3118,5,7,538.8649819009006,768.0,432.0,1327104.0,0.21295,0.06534242227509458
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.366,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,33,4342,8795,4500,5,7,1387.4489286579483,768.0,432.0,1327104.0,1.582432,0.20290044647109895
BlenderBattery_1,nmsl4,CYCLES,40.0,0.366,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,40,5935,12005,6132,5,7,1032.4167657995422,768.0,432.0,1327104.0,0.281507,0.6379039178039155
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.366,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,48,5266,10660,5448,5,7,1304.4957225400358,768.0,432.0,1327104.0,2.221501,0.39389238879116645
BlenderBattery_1,nmsl4,CYCLES,40.0,0.366,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,56,6724,13657,6998,5,7,576.3114827486424,768.0,432.0,1327104.0,0.383384,0.6413580722637091
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.366,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,109,12688,25798,13228,5,7,1426.118309726473,768.0,432.0,1327104.0,10.649691,0.8475202833783433
BlenderBattery_1,nmsl4,CYCLES,40.0,0.366,4,163,24224,48896,24944,48,0,0,0,0,48,0,5,7,107,11906,24141,12355,5,7,5349.809722413527,768.0,432.0,1327104.0,0.63632,0.8150631712207487
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.488,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.536458,0.011509349701377534
BlenderBattery_1,nmsl4,CYCLES,40.0,0.488,0,13,1514,3056,1559,3,0,0,0,0,3,0,5,7,11,1514,3056,1559,5,7,220.60164852638263,768.0,432.0,1327104.0,0.173308,0.011509349701377534
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.488,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,21,2922,5908,3019,5,7,340.7847933418234,768.0,432.0,1327104.0,0.80064,0.17693400296477485
BlenderBattery_1,nmsl4,CYCLES,40.0,0.488,1,23,3028,6112,3118,6,0,0,0,0,6,0,5,7,15,1636,3317,1699,5,7,220.69171784771606,768.0,432.0,1327104.0,0.339128,0.04265148154059376
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.488,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,31,4092,8288,4238,5,7,423.1293059855525,768.0,432.0,1327104.0,1.698731,0.13709386865592038
BlenderBattery_1,nmsl4,CYCLES,40.0,0.488,2,43,6056,12224,6236,12,0,0,0,0,12,0,5,7,30,3898,7894,4035,5,7,545.1340806412481,768.0,432.0,1327104.0,0.246776,0.30854753034285015
BlenderBattery_1,nmsl4,BLENDER_RENDER,40.0,0.488,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,70,9187,18584,9495,5,7,1347.628929301427,768.0,432.0,1327104.0,3.791352,0.6881775831538397
BlenderBattery_1,nmsl4,CYCLES,40.0,0.488,3,83,12112,24448,12472,24,0,0,0,0,24,0,5,7,71,9353,18937,9685,5,7,2963.425058446359,768.0,432.0,1327104.0,0.376976,0.3443312825119383
