File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.122,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,255,239998,532946,293510,11,10,14711.574444892995,384.0,216.0,331776.0,0.974936,0.5815829528091684
Bambo_House_1,nmsl5,CYCLES,20.0,0.122,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,360526,698048,344812,11,10,16952.081462705894,384.0,216.0,331776.0,99.24882,0.5897517793982587
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.244,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,0.066455,0.11189382827171326
Bambo_House_1,nmsl5,CYCLES,20.0,0.244,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,14.398018,0.11189382827171326
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.244,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1457.3756726196955,384.0,216.0,331776.0,0.132162,0.2397196274671056
Bambo_House_1,nmsl5,CYCLES,20.0,0.244,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,2011.6203334332463,384.0,216.0,331776.0,30.053373,0.26005773477107935
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.244,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,3717.4665211684946,384.0,216.0,331776.0,0.252753,0.3203175959536862
Bambo_House_1,nmsl5,CYCLES,20.0,0.244,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,86546,170102,84942,11,10,3685.981371666017,384.0,216.0,331776.0,30.452558,0.31283158392154614
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.244,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,172851,338121,168793,11,10,7135.6180721048395,384.0,216.0,331776.0,0.486784,0.5055672759028336
Bambo_House_1,nmsl5,CYCLES,20.0,0.244,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,173935,341730,170763,11,10,4426.754699743553,384.0,216.0,331776.0,84.893657,0.28773187095016073
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.244,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,255,238338,537355,297592,11,10,19424.487953032847,384.0,216.0,331776.0,0.917125,0.5480649200280979
Bambo_House_1,nmsl5,CYCLES,20.0,0.244,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,276326,582859,308964,11,10,12248.484342746853,384.0,216.0,331776.0,177.754682,0.5559088607949817
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.366,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,0.064116,0.0857534837982053
Bambo_House_1,nmsl5,CYCLES,20.0,0.366,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,11.997718,0.0857534837982053
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.366,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1309.8648930127072,384.0,216.0,331776.0,0.132535,0.24290289013686792
Bambo_House_1,nmsl5,CYCLES,20.0,0.366,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1281.2066605951236,384.0,216.0,331776.0,30.736921,0.20856147327492316
