File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.0,0,8,2329,4607,2280,3,2,0,0,0,1,0,1,3,6,2329,4607,2280,1,3,47.072033067801385,160.0,120.0,76800.0,0.612171,0.154956582611565
Ana_1,nmsl3,CYCLES,20.0,0.0,0,8,2329,4607,2280,3,2,0,0,0,1,0,1,3,6,2329,4607,2280,1,3,47.072033067801385,160.0,120.0,76800.0,0.085043,0.154956582611565
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.0,1,13,4658,9214,4560,6,4,0,0,0,2,0,1,3,11,6987,13821,6840,1,3,194.16366835767985,160.0,120.0,76800.0,1.060285,0.3127252429767799
Ana_1,nmsl3,CYCLES,20.0,0.0,1,13,4658,9214,4560,6,4,0,0,0,2,0,1,3,11,6287,12533,6250,1,3,245.11158558366878,160.0,120.0,76800.0,0.100366,0.3327904229317897
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.0,2,23,9316,18428,9120,12,8,0,0,0,4,0,1,3,21,11645,23035,11400,1,3,845.0128792622563,160.0,120.0,76800.0,1.522591,0.3118751455925019
Ana_1,nmsl3,CYCLES,20.0,0.0,2,23,9316,18428,9120,12,8,0,0,0,4,0,1,3,21,11645,23035,11400,1,3,1000.5865116403002,160.0,120.0,76800.0,0.123388,0.3358800966178182
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.0,3,43,18632,36856,18240,24,16,0,0,0,8,0,1,3,41,19978,39609,19641,1,3,1716.4171758174416,160.0,120.0,76800.0,2.282961,0.5750317280166848
Ana_1,nmsl3,CYCLES,20.0,0.0,3,43,18632,36856,18240,24,16,0,0,0,8,0,1,3,41,17333,34336,17019,1,3,235.45873802843198,160.0,120.0,76800.0,0.209308,0.4827423054467767
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.0,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,30416,60439,30040,1,3,2055.91823432615,160.0,120.0,76800.0,3.776913,0.5787151847954972
Ana_1,nmsl3,CYCLES,20.0,0.0,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,36436,72206,35794,1,3,1223.0099824423887,160.0,120.0,76800.0,0.244965,0.6921904906013192
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.122,0,8,2329,4607,2280,3,2,0,0,0,1,0,1,3,6,2329,4607,2280,1,3,47.072033067801385,160.0,120.0,76800.0,0.592052,0.11394401918929727
Ana_1,nmsl3,CYCLES,20.0,0.122,0,8,2329,4607,2280,3,2,0,0,0,1,0,1,3,6,2329,4607,2280,1,3,47.072033067801385,160.0,120.0,76800.0,0.090467,0.11394401918929727
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.122,1,13,4658,9214,4560,6,4,0,0,0,2,0,1,3,11,6987,13821,6840,1,3,208.5364346937713,160.0,120.0,76800.0,0.86804,0.12680514268616025
Ana_1,nmsl3,CYCLES,20.0,0.122,1,13,4658,9214,4560,6,4,0,0,0,2,0,1,3,11,6987,13821,6840,1,3,123.05814360265504,160.0,120.0,76800.0,0.092375,0.13579345345021543
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.122,2,23,9316,18428,9120,12,8,0,0,0,4,0,1,3,21,11645,23035,11400,1,3,179.0504232546382,160.0,120.0,76800.0,1.44723,0.2727888303457146
Ana_1,nmsl3,CYCLES,20.0,0.122,2,23,9316,18428,9120,12,8,0,0,0,4,0,1,3,21,11602,23000,11397,1,3,184.46553415394985,160.0,120.0,76800.0,0.518071,0.21144898487726824
Ana_1,nmsl3,BLENDER_RENDER,20.0,0.122,3,43,18632,36856,18240,24,16,0,0,0,8,0,1,3,41,20961,41463,20520,1,3,243.91573220195278,160.0,120.0,76800.0,2.614794,0.37801591936303314
